timestamp,volumeUSD,totalValueLockedUSD,priceUSD,feesUSD
2025-01-07 16:00:00,603918.9107536381,64610564.09286637,14.146859229474122,1811.756732260914
2025-01-07 17:00:00,270040.06322656595,63921320.5174521,13.943194346901343,810.1201896796979
2025-01-07 18:00:00,789599.6410578353,63948118.3172208,13.777981475809447,2455.902579350035
2025-01-07 19:00:00,104149.27025429464,63416771.42085428,13.644720907169763,312.44781076288393
2025-01-07 20:00:00,167437.08907252157,63343599.97006673,13.606175467731768,633.4331569482318
2025-01-07 21:00:00,311441.55571618874,63107015.98262767,13.597402577451108,934.3246671485663
2025-01-07 22:00:00,106746.55964039806,63392875.78582098,13.643668117088325,320.2396789211942
2025-01-07 23:00:00,447967.44021499326,63493476.49353872,13.570339047649153,1503.0991234485066
2025-01-08 00:00:00,712233.2702397105,63652707.56417555,13.750861369661804,2136.6998107191316
2025-01-08 01:00:00,206028.7921800431,63395951.97059941,13.652365440251014,618.0863765401292
2025-01-08 02:00:00,136455.93517258076,63408086.1406028,13.68186631693502,409.36780551774234
2025-01-08 03:00:00,531512.4600284611,62909261.09213777,13.48307974951974,1593.7611378192032
2025-01-08 04:00:00,456990.8965054907,63048555.62817678,13.418583067787944,1621.5993032819404
2025-01-08 05:00:00,79441.54110926477,62997594.48969416,13.409277659436952,238.0882667110851
2025-01-08 06:00:00,1413661.8890709348,62745123.03466035,13.101565022782552,5030.514560379105
2025-01-08 07:00:00,239740.88430455927,63467411.85905542,13.213445187265826,719.0058036600175
2025-01-08 08:00:00,476174.5482290067,63754105.405689634,13.369078428496778,1428.490148417242
2025-01-08 09:00:00,38218.13300770592,63736404.65037987,13.36574331908586,114.65439902311776
2025-01-08 10:00:00,8873.256829603133,63656533.334045134,13.350954180100496,26.6197704888094
2025-01-08 11:00:00,418552.0082236384,63206072.896826334,13.313081477033984,1267.3458391151185
2025-01-08 12:00:00,1742892.9112300205,63448652.6418213,13.229866223538524,5228.678733690061
2025-01-08 13:00:00,1229078.964605846,63484663.66267546,13.270881823039227,3687.236893817538
2025-01-08 14:00:00,1310762.0443160257,63522798.94708452,13.344436518070532,3932.286132948077
2025-01-08 15:00:00,522847.6055758058,63302706.324579865,13.202145997689936,1568.5428167274176
2025-01-08 16:00:00,1082034.4740941504,63116189.10787097,13.015466598373639,3796.525298742649
2025-01-08 17:00:00,2396457.623925609,61847036.3253565,12.80266205194642,7541.395353507344
2025-01-08 18:00:00,560589.5421088478,62102889.925861195,12.898612663319804,1681.7686263265432
2025-01-08 19:00:00,302179.3100338564,62565973.95753729,12.950034695865984,906.5379301015693
2025-01-08 20:00:00,254255.85530953953,62447167.96214657,12.901565295415969,762.7675659286185
2025-01-08 21:00:00,263516.00980282493,62731983.39702263,12.912098220008314,790.1209408393933
2025-01-08 22:00:00,419417.2943607902,63198058.662957855,13.089585484984028,1258.0044742523423
2025-01-08 23:00:00,586328.0903032148,63202886.14664803,13.08920311631064,1779.8628871658373
