date,feesUSD,priceUSD,totalValueLockedUSD,volumeUSD
2021-08-03,32141.531854983314,21.29988839001241,56427855.34311891,10723842.033302877
2021-08-04,43445.26067579866,23.46435247796606,58858629.0116965,14504867.438883564
2021-08-05,39655.817217534975,25.339862107278087,58702498.98115755,13213965.877223063
2021-08-06,44550.110362289546,26.196394238167166,56350119.35606668,14852392.449319147
2021-08-07,63718.53267314612,28.355022560456288,63407805.66687801,21257245.222745985
2021-08-08,34668.999997368075,26.64141839712552,63948119.322392136,11554078.128585558
2021-08-09,56970.34744455348,28.542030406741315,63713794.57729815,19008405.860874753
2021-08-10,79344.52982255143,28.911788735782732,60002429.272689566,26289842.974088818
2021-08-11,36784.42811362068,29.044931016479147,61910230.187069744,12314846.904956868
2021-08-12,43696.877158980395,27.904194337454513,59412775.91639889,14770337.315043423
2021-08-13,29683.716385315463,30.43891590652392,64723123.933016546,10102662.581803955
2021-08-14,53654.34809747563,30.156565275818966,62641654.32607441,17990449.926620927
2021-08-15,27471.349974352343,30.200829013624247,65701142.68510708,9258318.272172868
2021-08-16,51301.62224973781,29.245652919546863,60792578.20594167,16832389.209769055
2021-08-17,178253.94075560872,26.27768430565044,67346711.30789535,59334638.46010032
2021-08-18,160482.65203994326,26.085942548772262,68418729.96921736,53545739.10606189
2021-08-19,67368.37300008305,27.90054648195783,69872476.70236148,22496604.216229584
2021-08-20,38294.30479137294,28.731072294457196,72455258.59420246,12881196.16071048
2021-08-21,50031.74230848929,28.443540155743133,71228904.06719509,16690393.776426587
2021-08-22,37153.43314132254,28.371097237081567,73255215.850836,12410344.361821545
2021-08-23,26665.071178709775,28.868435324473953,77582182.59809703,8910468.284896838
2021-08-24,43219.756822810414,26.761998061543913,77391503.45872265,14390932.452458136
2021-08-25,21372.953581437017,27.05003069763641,76044873.02849282,7129325.118332662
2021-08-26,44167.01166909955,25.72819055492471,80204733.61537468,14708795.19520468
2021-08-27,28567.800504813575,27.37591200915204,82684247.57574597,9528728.71359196
2021-08-28,12532.446531881656,26.79216736689012,82318355.34719509,4193810.2736935974
2021-08-29,26530.844856385484,26.940150045105547,82250095.4109158,8863639.884890746
2021-08-30,34666.12292201873,26.841893597435607,81272604.65303963,11587703.220888738
2021-08-31,90073.42214796932,29.5018619864898,75440379.51555888,30040724.579241343
2021-09-01,114089.96067058366,31.359784228611247,88183632.77698264,38028205.49738319
2021-09-02,27286.615883296665,30.13704088261171,88025525.40158217,9092894.61128176
2021-09-03,69818.90110842609,28.642092116034274,87732243.16112146,23214127.94865307
2021-09-04,31226.560832852545,28.611196576747883,85389628.43251452,10408137.472694585
2021-09-05,25048.634745371102,29.21706269719488,86823017.27058521,8374482.355636509
2021-09-06,52701.38559336263,28.956969375569063,86492857.5680568,17527257.118372407
2021-09-07,112404.4568603479,24.255632727332223,72522863.9464701,37100148.6183999
2021-09-08,56227.54639608251,23.129242797790603,70474485.75290418,18329422.322704952
2021-09-09,26099.18369532132,23.290133849343732,67529956.1463501,8661840.632353246
2021-09-10,42806.43537692531,22.224011525626757,63605503.38626029,14043126.810687209
2021-09-11,28258.87033808763,22.661957725952725,64744423.49172309,9284979.436924396
2021-09-12,21103.465271110214,23.679171833309372,67307797.81502274,7048772.567912506
2021-09-13,17339.552357896264,22.71261377413421,63861539.48332314,5785670.451621075
2021-09-14,29752.202974421318,25.645323322080834,67541829.32028946,9796088.123542355
2021-09-15,37682.3415404453,27.45482892056163,71338420.52505443,12524646.472716415
2021-09-16,25756.56721854275,26.169136590787016,69528638.20387064,8583056.461517459
2021-09-17,33317.48053285484,24.279406741972323,65945511.40648017,11031781.812625313
2021-09-18,8031.048558727195,24.429217111768615,66433741.55695876,2742735.867266621
2021-09-19,5903.193361513769,23.76532044422695,64185981.23864762,2034273.8979589152
2021-09-20,25505.662602036344,20.699958815434673,56414557.321837164,8510114.805875434
2021-09-21,16875.65729584023,18.978472273803444,52007399.90173849,5565888.469504478
2021-09-22,15541.833617724547,21.467494453161663,57896045.97352095,5170550.863253688
2021-09-23,11326.38529389494,21.443934563616622,53659497.955333486,3738173.5407415456
2021-09-24,17189.84358051278,19.57302220840593,49753204.50641441,5725580.273578265
2021-09-25,11379.908873670154,19.505315391811344,47645243.208521,3768584.538752265
2021-09-26,158454.75336435263,23.96475721892964,48393010.61497943,52564322.09051199
2021-09-27,82075.2398999484,22.441586289766715,47082781.30829645,27359946.36999135
2021-09-28,131908.6184730201,23.012192174673586,41384023.69914207,43975929.617615424
2021-09-29,40195.14598296513,22.98021143798696,42816547.77404382,13391182.755858185
2021-09-30,27086.843119184097,23.40311865286695,46240386.75679036,9032420.615844006
2021-10-01,45815.11495977058,25.480538396491525,51607889.61070051,15280150.000918169
2021-10-02,61056.66167443225,26.12916826693068,52921940.62011552,20381065.984134644
2021-10-03,21069.68072407524,25.975036829349353,54077889.03052018,7042934.775478942
2021-10-04,20711.413726582236,25.2909077300684,54123002.13653589,6912786.006118152
2021-10-05,30814.59990306486,25.65946460675914,55822694.864671245,10241916.352682263
2021-10-06,40278.15091207015,25.295572528905115,57301864.01892349,13352286.935272476
2021-10-07,26945.91451434049,25.511910313748174,57203296.29687482,8980167.83360841
2021-10-08,18090.899159247725,24.669079574727203,56260493.49651858,5980922.20722657
2021-10-09,12175.222986897243,25.194751417737677,56257225.283631794,4058650.8288892065
2021-10-10,15529.149667554024,24.167880711650316,54195971.234841906,5133771.8428971665
2021-10-11,16805.763360659654,23.983239744392137,55177693.54545647,5518990.5744626215
2021-10-12,15370.606935497533,23.40205221543709,55191057.53747279,5044022.63800084
2021-10-13,61396.8898615757,24.58678374058574,56547952.49267872,20158038.565747093
2021-10-14,39226.14427623706,26.28450087838097,60201184.27185073,12996162.508915933
2021-10-15,33475.9121644902,25.819574151933068,60989327.870836414,11142159.223029269
2021-10-16,76736.0734846737,27.010417738791357,60196824.345151454,25461382.784122463
2021-10-17,16857.100869903286,25.989683973184334,60132830.22659558,5579526.226291581
2021-10-18,11863.154883329054,25.572024486295216,58816612.74369602,3941244.9206225537
2021-10-19,15166.872074816849,25.986342243571656,60515307.695210256,5003402.344502128
2021-10-20,19208.85791064814,27.068238495983355,64593506.24756849,6360683.547973472
2021-10-21,21654.367572410694,26.07488757172373,63258443.444019176,7231038.790475527
2021-10-22,8516.450984468484,25.579647883384432,61685545.31613154,2862635.239655753
2021-10-23,17266.29708066884,26.814400616869115,64086274.98568166,5899748.261528359
2021-10-24,12062.50656165134,25.774648649570093,62763835.42363802,3999413.9913021177
2021-10-25,17647.173691973832,26.643406608390933,63118495.201330915,5886262.818839846
2021-10-26,54550.16470168202,26.532784090222155,63308543.664878935,18005540.318624735
2021-10-27,54295.037999249136,24.449183548935384,59763632.86418825,17923606.063105803
2021-10-28,39200.24709547594,24.910343687679745,62803426.81120964,12698157.393774863
2021-10-29,24163.06861791805,25.39181842576796,63025400.04845868,7993790.367242005
2021-10-30,4078.1699115269935,24.892768292654413,61279995.05929484,1353594.678826047
2021-10-31,6605.678446807762,25.042081119504683,61132391.86257272,2197357.961429053
2021-11-01,21221.979919390615,25.667170850647693,62376812.28564826,6987526.8846852435
2021-11-02,18449.10205617111,26.08879640170516,64657388.885026895,6057703.9742156295
2021-11-03,26421.719411443843,26.866062799425148,65119408.223936,8698252.728451112
2021-11-04,20015.02157197703,25.720012912407192,62862277.91556687,6473243.0240242295
2021-11-05,11256.075953329371,25.550420316522622,62050475.523488276,3673898.3552720374
2021-11-06,33704.26049067042,25.087536655584618,61660099.984079115,11179913.810946284
2021-11-07,4373.336147427505,25.25421050150796,62424905.874909095,1412260.2712002017
2021-11-08,12221.699984576117,26.2887100801156,63911045.75730015,3979990.6916243327
2021-11-09,33501.627231997314,26.35801949224114,62019231.06111256,10965997.204614988
2021-11-10,36566.886061448706,25.202699327196353,61076386.98688347,11850317.612207353
