date,herfindahl_index,number_of_holders,total_supply_held,whale_balance_pct,whale_balance_total,whale_count
2020-12-27 00:00:00.000 UTC,0.0007143916895238911,2073,14344649637.058542,0.998576401188091,14324228610.877975,51
2020-12-28 00:00:00.000 UTC,0.000704533213896033,2125,14025782899.922432,0.9986322775691964,14006599522.040627,64
2020-12-29 00:00:00.000 UTC,0.000978990378042126,2086,12012856875.477474,0.9985250875317639,11995138963.092697,65
2020-12-30 00:00:00.000 UTC,0.00042782421256535945,2727,20666102726.056206,0.9986439912403173,20638079309.73117,68
2020-12-31 00:00:00.000 UTC,0.00026774552513308665,4032,35629945266.094696,0.9989829114634955,35593706457.20827,82
2021-01-01 00:00:00.000 UTC,0.00043057603452493045,3374,24115668353.147682,0.9989426872448467,24090170549.398853,80
2021-01-02 00:00:00.000 UTC,0.0004021334942320479,2960,21554366047.851543,0.9988994228235925,21530643804.527344,79
2021-01-03 00:00:00.000 UTC,0.0004870977801563042,2872,18608558689.556026,0.9988439437669987,18587046149.295795,82
2021-01-04 00:00:00.000 UTC,0.0004904812427184348,3062,18780018545.045174,0.9985051025072297,18751944342.408005,73
2021-01-05 00:00:00.000 UTC,0.0004605616118099784,3243,20044218138.442722,0.9987790745982523,20019745643.359325,70
2021-01-06 00:00:00.000 UTC,0.0005383023282460123,3419,18967847834.39118,0.9988678691552809,18946373748.799927,66
2021-01-07 00:00:00.000 UTC,0.0005629936899110692,2957,17492849060.607597,0.9990494234097278,17476220767.79342,63
2021-01-08 00:00:00.000 UTC,0.0007080645335685178,2503,14751111336.250202,0.9987440601027585,14732584826.994354,69
2021-01-09 00:00:00.000 UTC,0.000673372315155065,2560,15621476275.478651,0.9988396218011187,15603349454.974245,54
2021-01-10 00:00:00.000 UTC,0.0005676910879420454,2735,17388828892.35324,0.9989299372617834,17370221754.49431,64
2021-01-11 00:00:00.000 UTC,0.0009471319735344384,2040,13343135422.263794,0.9985854829595419,13324261329.835861,74
2021-01-12 00:00:00.000 UTC,0.0007007237845372331,2138,15267431478.78039,0.998629834350186,15246512568.607277,57
2021-01-13 00:00:00.000 UTC,0.0005993915098649791,2336,16895357873.955585,0.9988489462463779,16875910408.85598,69
2021-01-14 00:00:00.000 UTC,0.00046465750040158475,2702,18743624581.80416,0.9988608772792553,18722273293.17392,73
2021-01-15 00:00:00.000 UTC,0.0003961821796709332,3126,20240536967.324524,0.9988510271917638,20217281140.724968,84
2021-01-16 00:00:00.000 UTC,0.0003192892593007491,4236,27442461053.37532,0.9988619055739543,27411228941.413498,89
2021-01-17 00:00:00.000 UTC,0.00037480608912626376,3858,26554548746.963455,0.9989009108770619,26525362931.271137,86
2021-01-18 00:00:00.000 UTC,0.000331517260096841,3865,24696273555.543137,0.9989693011526549,24670819134.85572,86
2021-01-19 00:00:00.000 UTC,0.0004136551097481522,3325,20813673687.28319,0.9988807609268985,20790378210.4376,85
2021-01-20 00:00:00.000 UTC,0.0005528290072947818,2781,15720030216.549208,0.9987610096541172,15700553250.873917,72
2021-01-21 00:00:00.000 UTC,0.0005820143296870823,2396,14394520318.122814,0.9985992333044712,14374356953.463076,77
2021-01-22 00:00:00.000 UTC,0.000604136535440016,2424,14174121720.367458,0.9987431245599282,14156306614.89254,69
2021-01-23 00:00:00.000 UTC,0.0006721294480663743,2648,14676695002.461973,0.9987843211376124,14658852854.57777,78
2021-01-24 00:00:00.000 UTC,0.0002711466342242049,4776,27464432163.66825,0.9987488933503038,27430071229.958157,91
2021-01-25 00:00:00.000 UTC,0.00026359852644787507,4850,29318454159.50641,0.9989173722114293,29286713186.31539,100
2021-01-26 00:00:00.000 UTC,0.00019895181697941348,5443,33648817658.410553,0.998852470398691,33610204644.098476,87
2021-01-27 00:00:00.000 UTC,0.00024882575413220985,6077,29009419521.99419,0.998668419491951,28970791144.408886,93
2021-01-28 00:00:00.000 UTC,0.0002440933460650104,6439,28615208319.31305,0.9984298494795858,28570278135.07872,76
2021-01-29 00:00:00.000 UTC,0.0002973839164261709,5814,26511153274.087975,0.9985296979038266,26472173869.85711,78
2021-01-30 00:00:00.000 UTC,0.00023717505825739327,7700,35524575045.22246,0.9988171969448129,35482556469.324745,83
2021-01-31 00:00:00.000 UTC,0.00022138523997021137,8364,33383148224.518585,0.998679040992267,33339050454.16492,93
2021-02-01 00:00:00.000 UTC,0.0002270266472560018,6449,31732461152.466988,0.9985788901107681,31687365838.11355,86
2021-02-02 00:00:00.000 UTC,0.0003460584735980789,5954,27065900709.82442,0.9987083312408158,27030940531.43836,85
2021-02-03 00:00:00.000 UTC,0.00036882964082125634,5641,20682655933.157658,0.9986445404292726,20654621429.225,76
